symbol,shortName,longName,base_symbol_clean,exclude_reason
WXDAI-USD,Wrapped XDAI USD,,WXDAI,wrapped_derivative_or_real_asset_name
FRAX-USD,Legacy Frax Dollar USD,Legacy Frax Dollar USD,FRAX,stablecoin_base
CUSD-USD,Celo Dollar USD,Celo Dollar USD,CUSD,stablecoin_base
WDOGE-USD,Wrapped Dogecoin USD,Wrapped Dogecoin USD,WDOGE,wrapped_derivative_or_real_asset_name
USTC15610-USD,Terra Classic USD (Wormhole) USD,Terra Classic USD (Wormhole) USD,USTC,stablecoin_base
WOKB-USD,Wrapped OKB USD,Wrapped OKB USD,WOKB,wrapped_derivative_or_real_asset_name
SLISBNB-USD,Lista Staked BNB USD,Lista Staked BNB USD,SLISBNB,wrapped_derivative_or_real_asset_name
WXDC-USD,Wrapped XDC USD,Wrapped XDC USD,WXDC,wrapped_or_derivative_base
EZETH-USD,Renzo Restaked ETH USD,Renzo Restaked ETH USD,EZETH,wrapped_or_derivative_base
WTAO-USD,Wrapped TAO USD,Wrapped TAO USD,WTAO,wrapped_derivative_or_real_asset_name
VTUSD-USD,Venus TUSD USD,Venus TUSD USD,VTUSD,wrapped_derivative_or_real_asset_name
WEGLD-USD,Wrapped EGLD USD,Wrapped EGLD USD,WEGLD,wrapped_derivative_or_real_asset_name
VAI8479-USD,VAIOT USD,VAIOT USD,VAI,stablecoin_base
CEUR-USD,Celo Euro USD,Celo Euro USD,CEUR,stablecoin_base
VSUI-USD,Volo Staked SUI USD,Volo Staked SUI USD,VSUI,wrapped_derivative_or_real_asset_name
DOLA-USD,DOLA USD,DOLA USD,DOLA,stablecoin_base
USDCWORMHOLE-USD,USD Coin (Wormhole) USD,USD Coin (Wormhole) USD,USDCWORMHOLE,stablecoin_name
HASUI-USD,Haedal Staked SUI USD,Haedal Staked SUI USD,HASUI,wrapped_derivative_or_real_asset_name
WXTZ-USD,Wrapped XTZ USD,Wrapped XTZ USD,WXTZ,wrapped_derivative_or_real_asset_name
BSOL-USD,BlazeStake Staked SOL USD,BlazeStake Staked SOL USD,BSOL,wrapped_derivative_or_real_asset_name
USDB29599-USD,USDB USD,USDB USD,USDB,stablecoin_base
SUSD-USD,sUSD USD,sUSD USD,SUSD,stablecoin_base
HBTC-USD,Huobi BTC USD,Huobi BTC USD,HBTC,wrapped_or_derivative_base
EETH-USD,ether.fi Staked ETH USD,ether.fi Staked ETH USD,EETH,wrapped_derivative_or_real_asset_name
WCHZ-USD,Wrapped Chiliz USD,Wrapped Chiliz USD,WCHZ,wrapped_derivative_or_real_asset_name
WCFX-USD,Wrapped Conflux USD,Wrapped Conflux USD,WCFX,wrapped_derivative_or_real_asset_name
WWDOGE-USD,Wrapped WDOGE USD,Wrapped WDOGE USD,WWDOGE,wrapped_derivative_or_real_asset_name
STSOL-USD,Lido Staked SOL USD,Lido Staked SOL USD,STSOL,wrapped_derivative_or_real_asset_name
WSEI-USD,Wrapped Sei USD,Wrapped Sei USD,WSEI,wrapped_derivative_or_real_asset_name
SWETH-USD,swETH USD,swETH USD,SWETH,wrapped_or_derivative_base
SFRXETH-USD,Frax Staked Ether USD,Frax Staked Ether USD,SFRXETH,wrapped_or_derivative_base
LUSD-USD,Liquity USD USD,Liquity USD USD,LUSD,stablecoin_base
MIM-USD,Magic Internet Money USD,Magic Internet Money USD,MIM,stablecoin_base
CDCETH-USD,Crypto.com Staked ETH USD,Crypto.com Staked ETH USD,CDCETH,wrapped_or_derivative_base
JSOL-USD,JPool Staked SOL (JSOL) USD,JPool Staked SOL (JSOL) USD,JSOL,wrapped_derivative_or_real_asset_name
WALV-USD,Wrapped Alvey Chain USD,Wrapped Alvey Chain USD,WALV,wrapped_derivative_or_real_asset_name
STATOM-USD,Stride Staked ATOM USD,Stride Staked ATOM USD,STATOM,wrapped_derivative_or_real_asset_name
VAI-USD,Vai USD,Vai USD,VAI,stablecoin_base
LSETH-USD,Liquid Staked ETH USD,Liquid Staked ETH USD,LSETH,wrapped_derivative_or_real_asset_name
WSHIDO-USD,Wrapped Shido USD,Wrapped Shido USD,WSHIDO,wrapped_derivative_or_real_asset_name
WBESC-USD,Wrapped BESC USD,Wrapped BESC USD,WBESC,wrapped_derivative_or_real_asset_name
WCFG-USD,Wrapped Centrifuge USD,Wrapped Centrifuge USD,WCFG,wrapped_or_derivative_base
WKAVA-USD,Wrapped Kava USD,Wrapped Kava USD,WKAVA,wrapped_derivative_or_real_asset_name
STMATIC-USD,Lido Staked Matic USD,,STMATIC,wrapped_derivative_or_real_asset_name
KAU24382-USD,Kinesis Gold USD,Kinesis Gold USD,KAU,wrapped_derivative_or_real_asset_name
VNXAU-USD,VNX Gold USD,VNX Gold USD,VNXAU,wrapped_derivative_or_real_asset_name
EURS-USD,STASIS EURO USD,STASIS EURO USD,EURS,stablecoin_base
USDC30819-USD,Classic USD.C USD,Classic USD.C USD,USDC,stablecoin_base
WLUNC-USD,Wrapped LUNA Classic USD,Wrapped LUNA Classic USD,WLUNC,wrapped_derivative_or_real_asset_name
WVSG-USD,Wrapped VSG USD,Wrapped VSG USD,WVSG,wrapped_derivative_or_real_asset_name
EDGESOL-USD,Edgevana Staked SOL USD,Edgevana Staked SOL USD,EDGESOL,wrapped_derivative_or_real_asset_name
STNEAR-USD,Staked NEAR USD,Staked NEAR USD,STNEAR,wrapped_derivative_or_real_asset_name
MIM29473-USD,Magic Internet Money USD,Magic Internet Money USD,MIM,stablecoin_base
DIGAU-USD,Dignity Gold USD,Dignity Gold USD,DIGAU,wrapped_derivative_or_real_asset_name
CARAT24480-USD,Alaska Gold Rush USD,Alaska Gold Rush USD,CARAT,wrapped_derivative_or_real_asset_name
WEVER-USD,Wrapped Everscale USD,Wrapped Everscale USD,WEVER,wrapped_derivative_or_real_asset_name
WADA-USD,Wrapped Cardano USD,Wrapped Cardano USD,WADA,wrapped_derivative_or_real_asset_name
SUSD1-USD,Lorenzo staked USD1+ USD,Lorenzo staked USD1+ USD,SUSD,stablecoin_base
EURT-USD,Tether EURt USD,Tether EURt USD,EURT,stablecoin_base
CRVFRAX-USD,Curve.fi FRAX/USDC USD,Curve.fi FRAX/USDC USD,CRVFRAX,stablecoin_name
ANKRBNB-USD,Ankr Staked BNB USD,Ankr Staked BNB USD,ANKRBNB,wrapped_derivative_or_real_asset_name
WIOTX-USD,Wrapped IoTeX USD,Wrapped IoTeX USD,WIOTX,wrapped_derivative_or_real_asset_name
BTG-USD,Bitcoin Gold USD,Bitcoin Gold USD,BTG,wrapped_derivative_or_real_asset_name
WAMPL-USD,Wrapped Ampleforth USD,Wrapped Ampleforth USD,WAMPL,wrapped_derivative_or_real_asset_name
SDAI-USD,Savings Dai USD,Savings Dai USD,SDAI,stablecoin_name
GOLD28173-USD,Gold USD,,GOLD,wrapped_derivative_or_real_asset_name
WCORE-USD,Wrapped Core USD,Wrapped Core USD,WCORE,wrapped_derivative_or_real_asset_name
FPIS-USD,Frax Price Index Share USD,Frax Price Index Share USD,FPIS,stablecoin_name
WNRG-USD,Wrapped-Energi USD,Wrapped-Energi USD,WNRG,wrapped_derivative_or_real_asset_name
STAVAX-USD,Hypha Staked AVAX USD,Hypha Staked AVAX USD,STAVAX,wrapped_derivative_or_real_asset_name
STAPT-USD,Ditto Staked Aptos USD,Ditto Staked Aptos USD,STAPT,wrapped_derivative_or_real_asset_name
VUSDC-USD,Venus USDC USD,,VUSDC,stablecoin_name
FPI-USD,Frax Price Index USD,Frax Price Index USD,FPI,stablecoin_name
STUSDT-USD,Staked USDT USD,Staked USDT USD,STUSDT,wrapped_derivative_or_real_asset_name
WILC-USD,Wrapped ILCOIN USD,Wrapped ILCOIN USD,WILC,wrapped_derivative_or_real_asset_name
RENBTC-USD,renBTC USD,renBTC USD,RENBTC,wrapped_or_derivative_base
WONE-USD,Wrapped Harmony USD,Wrapped Harmony USD,WONE,wrapped_or_derivative_base
USDK-USD,USDK USD,USDK USD,USDK,stablecoin_base
WFTM-USD,Wrapped Fantom USD,Wrapped Fantom USD,WFTM,wrapped_or_derivative_base
STTIA-USD,Stride Staked TIA USD,Stride Staked TIA USD,STTIA,wrapped_derivative_or_real_asset_name
ANG-USD,Aureus Nummus Gold USD,Aureus Nummus Gold USD,ANG,wrapped_derivative_or_real_asset_name
WKCS-USD,Wrapped KuCoin Token USD,Wrapped KuCoin Token USD,WKCS,wrapped_derivative_or_real_asset_name
WPOKT-USD,Wrapped POKT USD,Wrapped POKT USD,WPOKT,wrapped_derivative_or_real_asset_name
FUSDC26744-USD,Fluid USDC USD,Fluid USDC USD,FUSDC,stablecoin_name
CDAI-USD,Compound Dai USD,Compound Dai USD,CDAI,stablecoin_name
JUSDC28290-USD,TON Bridged USDC USD,,JUSDC,stablecoin_name
WG999-USD,Wrapped G999 USD,Wrapped G999 USD,WG,wrapped_derivative_or_real_asset_name
WKAS-USD,Wrapped Kaspa USD,Wrapped Kaspa USD,WKAS,wrapped_derivative_or_real_asset_name
STOSMO-USD,Stride Staked OSMO USD,Stride Staked OSMO USD,STOSMO,wrapped_derivative_or_real_asset_name
DGLD-USD,DGLD - Digital Gold Token USD,DGLD - Digital Gold Token USD,DGLD,wrapped_derivative_or_real_asset_name
STTON-USD,bemo staked TON USD,bemo staked TON USD,STTON,wrapped_derivative_or_real_asset_name
WPLS-USD,Wrapped Pulse USD,Wrapped Pulse USD,WPLS,wrapped_derivative_or_real_asset_name
SICX-USD,Staked ICX USD,,SICX,wrapped_derivative_or_real_asset_name
VUSDT-USD,Venus USDT USD,,VUSDT,wrapped_derivative_or_real_asset_name
CUSD21871-USD,Coin98 Dollar USD,Coin98 Dollar USD,CUSD,stablecoin_base
USDJ-USD,USDJ USD,USDJ USD,USDJ,stablecoin_base
ANKRETH-USD,Ankr Staked ETH USD,Ankr Staked ETH USD,ANKRETH,wrapped_or_derivative_base
WUSDR-USD,Wrapped USDR USD,Wrapped USDR USD,WUSDR,wrapped_derivative_or_real_asset_name
IDRT-USD,Rupiah Token USD,Rupiah Token USD,IDRT,stablecoin_base
USDB-USD,USD Bancor USD,USD Bancor USD,USDB,stablecoin_base
STJUNO-USD,Stride Staked JUNO USD,Stride Staked JUNO USD,STJUNO,wrapped_derivative_or_real_asset_name
WFUSE-USD,Wrapped Fuse USD,Wrapped Fuse USD,WFUSE,wrapped_derivative_or_real_asset_name
GOLD12082-USD,CyberDragon Gold USD,CyberDragon Gold USD,GOLD,wrapped_derivative_or_real_asset_name
USDC29263-USD,Overnight USDC+ USD,Overnight USDC+ USD,USDC,stablecoin_base
WPKT-USD,Wrapped PKT USD,Wrapped PKT USD,WPKT,wrapped_derivative_or_real_asset_name
VRT-USD,Venus Reward Token USD,Venus Reward Token USD,VRT,wrapped_derivative_or_real_asset_name
WCANTO-USD,Wrapped CANTO USD,Wrapped CANTO USD,WCANTO,wrapped_derivative_or_real_asset_name
VBTC-USD,Venus BTC USD,,VBTC,wrapped_derivative_or_real_asset_name
WFLR-USD,Wrapped Flare USD,Wrapped Flare USD,WFLR,wrapped_derivative_or_real_asset_name
SKCS-USD,sKCS.io Staked KCS USD,sKCS.io Staked KCS USD,SKCS,wrapped_derivative_or_real_asset_name
